pool,degree_wallets,p_swaps,p_volume_usd,hhi_wallets_vol,hhi_wallets_cnt,entropy_wallets,top_wallet_share,arb_leg_share,top10_wallet_share,avg_wallet_persistence,repeat_wallet_share,mev_wallet_share,mev_volume_share,mev_volume_share_strict,mev_swap_share,entropy_norm_wallets,eff_wallets_inv_HHI,mev_exposure_index
0xcc6d2f26d363836f85a42d249e145ec0320d3e55,9524,39663,1874839981.002073,0.013119941821397332,0.00484654718410394,5.795325788201481,0.08015899983790022,0.015354360640099464,0.28090794435282884,0.9259535635030229,0.29073918521629566,0.10846283074338513,0.5008758483398331,0.25308244814155706,0.35604971888157727,0.6325690527798045,76.21985018021182,0.7879148144319239
0x970a7749ecaa4394c8b2bf5f2471f41fd6b79288,834,8629,1751183352.888472,0.11704813393634898,0.043755072630554316,3.0294016907706767,0.28590992232214024,0.007996291607300587,0.7829204458737415,0.9282233028067387,0.3057553956834532,0.21942446043165467,0.08779866785122015,0.06131719302361685,0.33236759763587903,0.45038604959921996,8.543493743725996,0.7314518074365072
0xf8e349d1d827a6edf17ee673664cfad4ca78c533,5785,227276,1657577670.273047,0.14705441776968534,0.08786343652824864,3.15290375960916,0.26443238705200317,0.009033070142552032,0.7604585956371492,0.9269644940579463,0.34866032843560935,0.09403630077787381,0.5389096076388664,0.48287520433330616,0.5085402770200109,0.36394957358613766,6.800203728433284,0.806790378717392
0xc275a7390966e4bcbf331b837cd7316c4a3efa83,23397,72739,1623205865.040144,0.012842692505125082,0.0020033621026938385,6.327985973909303,0.08337193143439704,0.012373004894003064,0.2702486529812805,0.9304721808224126,0.32093858186947044,0.05906740180365004,0.4159389847197795,0.2613669079366619,0.2121282943125421,0.629001748600724,77.86529184599989,0.7593473241669252
0x95dbb3c7546f22bce375900abfdd64a4e5bd73d6,13418,113495,1603416255.0475001,0.05882186826386207,0.01227719810692398,5.079824308164374,0.21589922632599656,0.057059782567565755,0.49717251717312444,0.9212195899868921,0.3205395737069608,0.16492770904754808,0.5798059742848074,0.20012898669768497,0.5849068240891669,0.5344734824017968,17.000480085301238,0.8323426031220924
0x553e9c493678d8606d6a5ba284643db2110df823,13524,111486,1410859694.3650491,0.0243496905783332,0.1955810714690613,5.662500237412479,0.1378260440689796,0.12646431210285508,0.30592547579843854,0.9398025031598476,0.18256433007985803,0.141156462585034,0.6817435959669617,0.5211013250346485,0.8020558635164954,0.5952868567591056,41.06828367214729,0.8639770495192804
0x60594a405d53811d3bc4766596efd80fd545a270,83952,755807,1258087365.8056617,0.05726634725344207,0.027019609404980185,5.0418098450235345,0.19485938935078181,0.07260451431006712,0.4407076693046636,0.9685458912384933,0.11994949494949494,0.09599533066514199,0.5999014020953203,0.5635431211067071,0.6230386858020632,0.44468245095612546,17.46226270682724,0.8397515420931114
0x7b1e5d984a43ee732de195628d20d05cfabc3cc7,53646,265641,1207790127.1790638,0.030775913120721168,0.014514187234844204,5.397819608837154,0.14575241690918647,0.026550871396852523,0.32021051075429874,0.9329817114159766,0.21142303247213212,0.044458114304887594,0.3850442737131292,0.3196831173346528,0.32526229008323265,0.4956601670086448,32.492943298787395,0.7736482993900546
0xc3db44adc1fcdfd5671f555236eae49f4a8eea18,38537,286766,1197785813.798285,0.044935316404160985,0.03148395905630688,5.252590994646972,0.1461355674903544,0.032015650156727755,0.46105803930343203,0.925173498583987,0.20603575784311182,0.07276124244232815,0.4778847052634618,0.41163452570505654,0.39631616021425137,0.49743393368114924,22.254210719375298,0.7923946379957959
0x4e665157291dbcb25152ebb01061e4012f58add2,9540,41114,1179766797.5445821,0.07702909871029652,0.004763333997325625,4.274102448306045,0.24456840648095668,0.020090480243315372,0.57571999802819,0.860414708972727,0.3768343815513627,0.08029350104821803,0.4054831104809243,0.23309119613497792,0.28780950527800747,0.46643963927854387,12.982106979609895,0.7700816706295875
